poi,yellow,brown,green,food,hotel,retail,entertain,beauty,service,sport,civic,religious,education,health,government,transport
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2
6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
19,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1,0,0,4,0,3,0,0,1,0,0,0,1,2,0,0
10,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
31,0,0,0,1,1,1,0,1,1,0,1,2,2,3,1,2
5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1
4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
30,11,0,0,6,0,11,0,3,0,0,0,0,0,4,0,0
18,3,0,0,3,0,3,0,4,3,0,0,0,0,1,0,0
43,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
13,0,0,0,1,0,2,0,1,4,0,0,0,0,0,0,0
5,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0
9,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,1,0,12,0,0,2,0,0,0,0,0,0,0
9,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
32,0,0,0,2,1,9,0,0,1,0,0,0,0,2,0,1
55,3,0,0,1,1,5,0,1,8,0,0,1,1,2,0,2
23,0,0,0,1,0,1,0,0,1,1,0,1,0,6,0,0
5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
16,0,0,0,2,0,4,0,1,1,0,0,2,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
9,0,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0
9,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
17,0,0,0,3,0,7,0,0,1,0,0,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
29,0,0,0,3,0,10,0,2,2,0,0,1,1,2,0,3
44,1,0,0,4,0,7,0,3,3,0,0,0,0,8,0,1
4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0,1,0,5,0,1,0,1,0,0,0,0,0,1
14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
28,0,0,0,5,0,4,0,3,4,0,0,0,0,1,0,0
13,1,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1
9,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0
62,0,0,0,0,0,3,0,2,7,1,0,1,3,12,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0
6,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,0,2,0,9,0,6,2,0,1,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,0,0,0,1,0,9,0,1,6,0,0,0,0,1,0,0
44,1,0,0,2,0,2,0,0,3,0,0,2,1,1,1,9
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,0,0,0,5,0,1,0,1,0,0,0,0,1,1,0,1
11,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0
21,0,0,0,2,0,1,0,0,5,0,0,0,2,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,3,0,1,0,3,1,1,0,1,2,0,0,3
24,1,0,0,2,0,1,0,2,2,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,0,5,1,9,0,0,8,0,0,1,0,5,0,1
26,0,0,0,0,0,2,0,1,1,1,1,0,2,3,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2,0,0,1,0,1,0,0,3,0,2,1,0,0,0,2
7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
6,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,1,0,6,0,0,3,0,1,0,0,0,0,0
11,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0
43,0,0,0,3,0,5,0,7,5,0,1,0,0,4,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,2,0,4,1,0,0,0,2,2,2,0,1,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
58,2,0,0,5,0,8,0,1,5,1,2,0,1,4,1,5
20,0,0,0,0,1,1,0,0,5,0,0,0,0,1,1,0
22,0,0,0,0,0,6,0,2,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,5,0,6,0,2,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0
13,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
25,0,0,0,3,0,5,0,0,3,0,1,0,0,0,0,0
7,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3,0,0,4,2,7,0,1,6,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1
34,0,0,0,0,0,4,0,2,4,1,0,0,1,4,0,0
8,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0
9,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0
16,1,0,0,5,0,3,0,2,0,0,0,0,0,1,0,2
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0
13,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0
32,0,0,0,1,0,9,0,0,3,3,0,0,0,4,0,1
23,0,0,0,0,0,9,0,1,0,1,0,0,0,3,0,0
13,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1
5,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0
8,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0
12,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
12,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
15,1,0,0,1,0,3,0,1,1,0,0,0,0,1,0,0
23,1,0,0,2,0,3,1,0,2,1,1,0,1,1,0,0
18,2,0,0,5,0,1,0,0,2,0,0,0,0,0,0,1
6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,3
16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
27,0,0,0,2,0,11,0,0,2,0,2,0,0,2,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0
35,0,0,0,2,1,5,0,1,2,0,1,0,0,3,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,6,2,5,1,1,0,0,2,1,1,1,0,1
19,0,0,0,1,0,2,0,2,3,0,0,0,2,1,0,0
9,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1
18,0,0,0,5,0,3,0,1,1,0,0,0,0,0,0,0
6,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0
218,2,0,0,9,0,29,0,7,36,2,1,1,1,17,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,4,0,2,2,0,1,0,0,0,0,0
7,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
11,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,0,0,0,1,0,6,0,1,2,0,0,0,2,1,0,2
15,0,0,0,1,0,6,0,3,0,1,1,0,0,0,0,0
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0
30,1,0,0,2,0,1,0,1,6,0,0,0,0,1,0,1
57,3,0,0,8,0,4,0,2,5,0,4,2,1,2,0,2
16,0,0,0,3,1,2,0,0,0,0,2,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
31,0,0,0,5,0,8,0,0,2,0,2,1,1,1,1,0
18,0,0,0,4,1,7,0,0,0,0,0,0,0,1,0,0
10,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
26,1,0,0,2,0,6,0,0,2,0,0,0,0,0,0,3
15,0,0,0,1,2,5,0,1,0,0,1,0,0,0,0,0
20,0,0,0,3,0,8,1,1,0,0,0,0,0,0,0,1
19,0,0,0,4,0,6,0,3,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
21,0,0,0,1,0,4,0,2,1,0,0,0,0,4,0,0
22,0,0,0,1,0,1,0,0,2,1,0,2,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,1,0,8,1,0,0,0,2,0,0,2,2,0
24,0,0,0,2,1,2,0,1,3,0,0,1,0,2,0,0
21,1,0,0,8,0,4,0,0,1,0,0,0,0,1,1,0
17,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0
7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
18,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0
37,0,0,0,2,0,5,2,0,2,0,0,0,0,0,0,0
37,2,0,0,4,2,9,1,1,0,0,6,0,0,0,0,2
47,0,0,0,6,0,18,0,1,8,0,0,0,0,3,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
51,1,0,0,6,0,11,0,1,7,0,1,3,2,1,0,0
6,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
11,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,1
4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
5,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
44,0,0,0,3,1,6,0,1,0,0,0,0,6,0,1,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,2,0,0,0,2,1,0,0,0,0,3,2,1
19,0,0,0,1,0,4,0,0,4,0,0,0,1,1,0,2
11,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
23,0,0,0,4,0,6,0,2,3,0,0,0,2,1,0,1
60,4,0,0,1,0,13,0,0,4,0,0,0,0,0,0,3
21,1,0,0,4,0,1,0,0,0,0,5,1,0,2,0,1
17,0,0,0,4,0,5,0,0,0,0,1,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
8,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0
59,0,0,0,5,0,7,0,3,7,0,0,1,0,7,0,0
31,0,0,0,2,0,1,0,1,5,0,0,2,0,3,1,0
18,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
33,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2
7,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0
6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1
31,0,0,0,2,1,1,0,0,4,0,0,0,2,10,0,1
4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,7,0,1,5,0,1,1,0,0,0,0
9,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
14,0,0,0,1,0,5,0,0,2,0,0,0,0,2,0,0
26,0,0,0,5,0,12,0,0,2,0,0,1,0,0,0,0
4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,5,1,12,0,3,14,1,0,0,1,10,1,1
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,0,0,0,1,0,8,0,2,3,0,0,0,0,0,0,0
7,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
70,0,0,0,8,2,11,1,5,2,1,1,2,1,5,0,2
7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,2,0,1,2,0,0,0,1,6,0,0
33,0,0,0,3,0,6,0,1,2,0,1,0,2,2,0,0
28,0,0,0,4,2,10,0,0,1,0,0,0,1,2,1,1
93,1,0,0,9,2,1,0,1,17,2,0,1,1,8,1,1
7,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
25,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0
29,0,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0
18,0,0,0,4,0,6,0,0,0,1,1,0,0,1,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
35,0,0,0,6,1,1,0,3,0,0,1,0,1,2,0,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,4,0,0,1,0,2,1,2,1,0,3
11,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
24,0,0,0,3,0,2,0,3,5,0,0,0,0,0,0,1
22,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,1
31,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
12,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
44,0,0,0,0,0,2,0,1,8,0,0,0,1,3,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,0,0,0,7,0,9,0,0,1,0,1,1,1,2,0,0
6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,0,0,0,3,0,9,0,7,3,1,0,0,5,6,2,3
110,0,0,0,4,0,1,0,1,23,0,0,0,4,11,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
